BLOC,City1,City2,Duration (hours)
1,Sant Pere Sallavinera,Sant Martí Sesgueioles,0.21155555555555555
1,Sant Pere Sallavinera,Argençola,0.5676666666666667
1,Sant Pere Sallavinera,Copons,0.35230555555555554
1,Sant Pere Sallavinera,Jorba,0.43119444444444444
1,Sant Pere Sallavinera,Montmaneu,0.4016944444444444
1,Sant Pere Sallavinera,Rubió,0.520888888888889
1,Sant Pere Sallavinera,Veciana,0.3302222222222222
1,Sant Pere Sallavinera,Bellprat,0.7007777777777778
1,Sant Pere Sallavinera,El Bruc,0.7263055555555555
1,Sant Pere Sallavinera,Castellolí,0.5921944444444445
1,Sant Pere Sallavinera,Orpí,0.8702500000000001
1,Sant Pere Sallavinera,Santa Maria de Miralles,0.799611111111111
1,Sant Pere Sallavinera,Cabrera d'Anoia,0.7601944444444444
1,Sant Pere Sallavinera,Torre de Claramunt,0.7224444444444444
1,Sant Pere Sallavinera,Vallbona d'Anoia,0.6973888888888888
1,Sant Pere Sallavinera,La Llacuna,0.883
1,Sant Pere Sallavinera,Conesa,0.8656111111111111
1,Sant Pere Sallavinera,Llorac,0.7239444444444444
1,Sant Pere Sallavinera,Passanant i Belltall,0.9184444444444445
1,Sant Pere Sallavinera,Piles,0.6554444444444444
1,Sant Pere Sallavinera,Savallà del Comtat,0.7568055555555555
1,Sant Pere Sallavinera,Vallfogona de Riucorb,0.8370555555555556
1,Sant Pere Sallavinera,Forès,1.0708333333333333
1,Sant Pere Sallavinera,Rocafort de Queralt,0.7677222222222223
1,Sant Pere Sallavinera,Carme,0.7634722222222222
1,Sant Pere Sallavinera,Montblanc,1.04475
1,Sant Martí Sesgueioles,Argençola,0.38069444444444445
1,Sant Martí Sesgueioles,Copons,0.2708333333333333
1,Sant Martí Sesgueioles,Jorba,0.3497222222222222
1,Sant Martí Sesgueioles,Montmaneu,0.21472222222222223
1,Sant Martí Sesgueioles,Rubió,0.4394166666666667
1,Sant Martí Sesgueioles,Veciana,0.14325000000000002
1,Sant Martí Sesgueioles,Bellprat,0.5138055555555555
1,Sant Martí Sesgueioles,El Bruc,0.6448333333333334
1,Sant Martí Sesgueioles,Castellolí,0.5107222222222222
1,Sant Martí Sesgueioles,Orpí,0.7887777777777778
1,Sant Martí Sesgueioles,Santa Maria de Miralles,0.6706388888888889
1,Sant Martí Sesgueioles,Cabrera d'Anoia,0.6787222222222222
1,Sant Martí Sesgueioles,Torre de Claramunt,0.6409722222222223
1,Sant Martí Sesgueioles,Vallbona d'Anoia,0.6159166666666667
1,Sant Martí Sesgueioles,La Llacuna,0.6960277777777777
1,Sant Martí Sesgueioles,Conesa,0.6786388888888889
1,Sant Martí Sesgueioles,Llorac,0.5369722222222222
1,Sant Martí Sesgueioles,Passanant i Belltall,0.8930555555555556
1,Sant Martí Sesgueioles,Piles,0.46847222222222223
1,Sant Martí Sesgueioles,Savallà del Comtat,0.5698333333333334
1,Sant Martí Sesgueioles,Vallfogona de Riucorb,0.6500833333333333
1,Sant Martí Sesgueioles,Forès,0.8838611111111111
1,Sant Martí Sesgueioles,Rocafort de Queralt,0.58075
1,Sant Martí Sesgueioles,Carme,0.6819999999999999
1,Sant Martí Sesgueioles,Montblanc,0.8577777777777778
1,Argençola,Copons,0.2981388888888889
1,Argençola,Jorba,0.25436111111111115
1,Argençola,Montmaneu,0.20077777777777778
1,Argençola,Rubió,0.4019722222222222
1,Argençola,Veciana,0.3608888888888889
1,Argençola,Bellprat,0.45158333333333334
1,Argençola,El Bruc,0.5371111111111111
1,Argençola,Castellolí,0.40299999999999997
1,Argençola,Orpí,0.6810555555555556
1,Argençola,Santa Maria de Miralles,0.6084166666666667
1,Argençola,Cabrera d'Anoia,0.571
1,Argençola,Torre de Claramunt,0.53325
1,Argençola,Vallbona d'Anoia,0.5081944444444444
1,Argençola,La Llacuna,0.6338055555555555
1,Argençola,Conesa,0.6164166666666666
1,Argençola,Llorac,0.47474999999999995
1,Argençola,Passanant i Belltall,0.8446944444444444
1,Argençola,Piles,0.40625
1,Argençola,Savallà del Comtat,0.5076111111111111
1,Argençola,Vallfogona de Riucorb,0.5878611111111112
1,Argençola,Forès,0.8216388888888889
1,Argençola,Rocafort de Queralt,0.5185277777777778
1,Argençola,Carme,0.5742777777777778
1,Argençola,Montblanc,0.7955555555555556
1,Copons,Jorba,0.11183333333333334
1,Copons,Montmaneu,0.2427222222222222
1,Copons,Rubió,0.20152777777777778
1,Copons,Veciana,0.11947222222222223
1,Copons,Bellprat,0.5054444444444445
1,Copons,El Bruc,0.40694444444444444
1,Copons,Castellolí,0.27283333333333337
1,Copons,Orpí,0.5508888888888889
1,Copons,Santa Maria de Miralles,0.48025
1,Copons,Cabrera d'Anoia,0.44083333333333335
1,Copons,Torre de Claramunt,0.4030833333333333
1,Copons,Vallbona d'Anoia,0.3780277777777778
1,Copons,La Llacuna,0.5709444444444445
1,Copons,Conesa,0.6866388888888889
1,Copons,Llorac,0.5449722222222223
1,Copons,Passanant i Belltall,0.9026111111111111
1,Copons,Piles,0.4764722222222222
1,Copons,Savallà del Comtat,0.5778333333333333
1,Copons,Vallfogona de Riucorb,0.6580833333333334
1,Copons,Forès,0.8918611111111111
1,Copons,Rocafort de Queralt,0.58875
1,Copons,Carme,0.4441111111111111
1,Copons,Montblanc,0.8657777777777779
1,Jorba,Montmaneu,0.2001111111111111
1,Jorba,Rubió,0.20541666666666666
1,Jorba,Veciana,0.20227777777777778
1,Jorba,Bellprat,0.444
1,Jorba,El Bruc,0.36097222222222225
1,Jorba,Castellolí,0.22686111111111112
1,Jorba,Orpí,0.5049166666666667
1,Jorba,Santa Maria de Miralles,0.42347222222222225
1,Jorba,Cabrera d'Anoia,0.3948611111111111
1,Jorba,Torre de Claramunt,0.3571111111111111
1,Jorba,Vallbona d'Anoia,0.3320555555555556
1,Jorba,La Llacuna,0.5141666666666667
