municipi,latitude,longitude,BLOC
Calonge de Segarra,41.7642502,1.4820028,1
Castellfollit de Riubregós,41.7762237,1.4383714,1
Prats de Rei,41.7056641,1.5412363,1
Pujalt,41.7169947,1.4211325,1
Sant Pere Sallavinera,41.7365708,1.5745225,1
Sant Martí Sesgueioles,41.7021286,1.4882003,1
Argençola,41.5977099,1.4433782,1
Copons,41.6363657,1.5179333,1
Jorba,41.6014534,1.547408,1
Montmaneu,41.6259778,1.4147627,1
Rubió,41.6442397,1.5701167,1
Veciana,41.6559029,1.4885194,1
Bellprat,41.5174829,1.4335846,1
El Bruc,41.5792357,1.7812982,1
Castellolí,41.5981563,1.7002468,1
Orpí,41.5185604,1.5755145,1
Santa Maria de Miralles,41.5004287,1.5282249,1
Cabrera d'Anoia,41.4774648,1.7042442,1
Torre de Claramunt,41.5352891,1.6609381,1
Vallbona d'Anoia,41.5194769,1.7082922,1
La Llacuna,41.4729806,1.534607,1
Conesa,41.5190356,1.2913382,1
Llorac,41.5561484,1.3071491,1
Passanant i Belltall,41.5319348,1.19646,1
Piles,41.5036208,1.3431045,1
Savallà del Comtat,41.5428139,1.2997894,1
Vallfogona de Riucorb,41.5632199,1.2363297,1
Forès,41.4941385,1.2378499,1
Rocafort de Queralt,41.4784492,1.2813851,1
Carme,41.5319058,1.6198579,1
Mediona,41.47739425,1.635018453270908,2
Font-rubí,41.4365689,1.5878667,2
Pontons,41.4138036,1.5140429,2
Torrelles de Foix,41.387735,1.5723453,2
Les Cabanyes,41.3715156,1.6893989,2
Pacs del Penedès,41.3615067,1.6698611,2
Sant Cugat Sesgarrigues,41.3644619,1.7530702,2
Santa Fe del Penedès,41.3844582,1.7209214,2
Vilobí del Penedès,41.3875574,1.6632965,2
Castellet i la Gornal,41.2532183,1.5917346,2
Albinyana,41.2454739,1.486748,2
Bonastre,41.2211883,1.4400593,2
Santa Oliva,41.2532889,1.5510139,2
Olivella,41.3103129,1.8114946,2
Olesa de Bonesvalls,41.3505032,1.8492996,2
Puigdàlber,41.4045506,1.700349,2
Sant Llorenç d'Hortons,41.4681755,1.8253181,2
Subirats,41.39516005,1.8112495738408874,2
Torrelavit,41.4463416,1.7298578,2
Masllorenç,41.270168,1.4144917,2
Montmell,41.3151822,1.4542794,2
Salomó,41.2295948,1.3747378,2
Vespella de Gaià,41.2040993,1.3599407,2
Blancafort,41.1274529,1.0846694,3
Pira,41.4236202,1.2031023,3
Senan,41.4696984,1.0874668,3
Aiguamúrcia,41.329339,1.3585409,3
Cabra del Camp,41.3952451,1.2772435,3
Querol,41.4234071,1.3970189,3
Pontils,41.4774835,1.3884066,3
Figuerola del Camp,41.3720741,1.265571,3
Montferri,41.2655697,1.3666818,3
Rodonyà,41.2826844,1.3990724,3
Vallclara,41.3774766,0.982585,3
Vilanova de Prades,41.347873,0.9571484,3
Mont-ral,41.2871207,1.0980821,3
La Riba,41.3169975,1.1771329,3
Vilaverd,41.3346124,1.1774773,3
Garidells,41.2071322,1.2471593,3
Masó,41.2226045,1.7189708,3
El Milà,41.2487485,1.2064295,3
Vallmoll,41.2426301,1.2488953,3
Alió,41.2935881,1.3062666,3
Bràfim,41.2687867,1.341243,3
Puigpelat,41.2798081,1.2970011,3
Vilabella,41.2467608,1.3298797,3
Nulles,41.2492881,1.2957338,3
Rourell,41.223574,1.2183923,3
Argentera,41.1376505,0.9089999,4
Botarell,41.1362847,0.9897786,4
Colldejou,41.0991567,0.8875766,4
Pratdip,41.0515188,0.8716047,4
Riudecanyes,41.1303686,0.9618942,4
Vilanova d'Escornalbou,41.1129833,0.9366799,4
Aleixar,41.201249,1.0466915,4
Alforja,41.2099763,0.9750606,4
Duesaigües,41.1457974,0.9305023,4
Maspujols,41.1817965,1.0457853,4
Riudecols,41.1680845,0.9746249,4
Arbolí,41.2425941,0.9487676,4
Capafonts,41.2948795,1.0269673,4
La Febró,41.2772519,1.0032924,4
Vilaplana,41.2281084,1.0336452,4
Albiol,41.2518657,1.0897995,4
Almoster,41.1960574,1.1111352,4
Perafort,41.1914523,1.2564332,4
Pobla de Mafumet,41.1865974,1.2082805,4
Vilallonga del Camp,41.2080149,1.2074709,4
Nou de Gaià,41.1822282,1.3738261,4
La Riera de Gaià,41.1686281,1.3582853,4
El Catllar,41.1748794,1.3256814,4
La Secuita,41.2040962,1.280166,4
Renau,41.2249813,1.3113308,4
Montblanc, 41.3762309,1.1620703,1
Montblanc, 41.3762309,1.1620703,2
Montblanc, 41.3762309,1.1620703,3
Montblanc, 41.3762309,1.1620703,4
