municipi,Estancia Minima
Marganell,1.0
Castellví de Rosanes,1.0
Collbató,1.0
Rellinars,1.0
Ullastrell,1.0
Òrrius,1.0
Santa Maria de Martorelles,1.0
Vallgorguina,1.0
Vilalba Sasserra,1.0
Campins,1.0
Cànoves i Samalús,1.0
Fogars de Montclús,1.0
Gualba,1.0
Sant Pere de Vilamajor,1.0
Castellfollit del Boix,1.0
Castellgalí,1.0
Mura,0.5
Talamanca,0.5
Sant Llorenç Savall,1.0
Gallifa,0.5
Tagamanent,1.0
Figaró-Montmany,1.0
Montseny,1.0
Sant Esteve de Palautordera,1.0
Aguilar de Segarra,1.0
Fonollosa,1.0
Rajadell,1.0
Castellnou de Bages,1.0
Sant Mateu de Bages,1.0
Granera,0.5
Monistrol de Calders,1.0
Sant Quirze Safaja,1.0
Calders,1.0
Castellcir,1.0
Collsuspina,1.0
Estany,1.0
Sant Feliu Sasserra,1.0
Viver i Serrateix,0.5
Sagàs,0.5
Santa Maria de Merlès,0.5
Olost,1.0
Oristà,1.0
Sant Martí d'Albars,0.5
Sobremunt,0.5
Olvan,1.0
Lluçà,1.0
Perafita,1.0
Alpens,1.0
Malla,1.0
Muntanyola,1.0
Folgueroles,1.0
Santa Eugènia de Berga,1.0
Santa Eulàlia de Riuprimer,1.0
Vilanova de Sau,1.0
Sant Martí de Centelles,1.0
Gurb,1.0
Masies de Roda,1.0
Santa Cecília de Voltregà,0.5
Tavertet,0.5
Rupit i Pruit,1.0
Sant Bartomeu del Grau,1.0
Masies de Voltregà,1.0
Orís,1.0
Sant Boi de Lluçanès,1.0
Santa Maria de Besora,0.5
Sant Vicenç de Torelló,1.0
Sora,0.5
Vidrà,0.5
Montesquiu,1.0
Sant Agustí de Lluçanès,0.5
Tavèrnoles,1.0
Sant Sadurní d'Osormort,0.5
Espinelves,0.5
Brull,1.0
Espunyola,1.0
Montclar,0.5
Capolat,0.5
Castellar del Riu,0.5
Fígols,0.5
Nou de Berguedà,0.5
Quar,0.5
Vilada,1.0
Llosses,0.5
Vallfogona de Ripollès,0.5
Borredà,1.0
Castell de l'Areny,0.5
Sant Jaume de Frontanyà,0.5
Vallcebre,1.0
Sant Julià de Cerdanyola,0.5
Gisclareny,0.5
Saldes,1.0
Gósol,0.5
Castellar de n'Hug,0.5
Campelles,0.5
Gombrèn,0.5
Planoles,1.0
Toses,0.5
Setcases,0.5
Llanars,1.0
Molló,1.0
Ogassa,0.5
Vilallonga de Ter,1.0
Pardines,0.5
Queralbs,0.5
Vic,0.0
